production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score,opening_gross,screens
82500000,160388063,2008,1.85,120,3632,85000000,7,34539115,3204
82000000,190320568,2005,2.35,113,13693,82000000,6.4,58613245,3634
82000000,268268174,2010,2.35,113,46355,80000000,6.5,34825135,3270
82000000,96024898,2000,2.35,123,5839,82000000,5.9,13020883,2516
81000000,483473962,2003,1.85,101,21276,81000000,6.7,85734045,3483
80000000,677923379,2012,2.35,142,49942,78000000,7.3,152535747,4137
80000000,586464305,2011,2.35,102,16143,80000000,6.5,85946294,3615
80000000,470909901,2015,1.85,89,26839,80000000,6.7,48464322,3754
80000000,343397247,2006,1.85,83,22813,80000000,6.8,38457003,4059
80000000,245800000,2002,1.66,85,3112,80000000,7.2,35260212,3191
80000000,349464664,1998,2.35,120,22750,75000000,6.1,41152375,3156
80000000,247023808,2013,1.85,101,39269,80000000,5.4,41508572,3491
80000000,349088523,2011,1.85,87,4073,75000000,4.4,23244744,3723
80000000,226739416,2008,1.85,110,44798,80000000,6.5,38683480,3911
80000000,260700012,2005,1.85,91,1804,75000000,6.3,36045301,3776
80000000,299461782,2010,2.35,138,29585,80000000,8.1,41062440,2991
80000000,266685242,2003,1.85,128,22679,80000000,6.7,16064723,2677
80000000,168311558,2008,1.85,88,9913,80000000,5.6,31069826,3310
80000000,221468935,2008,2.35,99,12831,80000000,6.1,27450296,3681
80000000,183354514,2002,2.35,117,16828,80000000,7.7,22079481,1797
80000000,214974953,2011,1.85,117,16325,80000000,6.4,30514732,3548
80000000,178066569,2008,2.35,118,5637,80000000,6.6,29150721,3510
80000000,224117573,1997,2.35,123,15362,75000000,6.8,24131738,2824
80000000,204774690,2010,1.85,80,4394,80000000,4.6,16411322,3515
80000000,165173909,2003,2.35,154,61110,79000000,7.2,14574213,2163
80000000,158750817,2010,2.35,118,44797,80000000,6.9,38437553,3111
80000000,177993801,1997,1.85,90,50005,80000000,5.2,35892031,2641
80000000,250200000,1996,1.77,88,15001,80000000,6.3,27528529,2650
80000000,211755593,2014,2.35,134,20411,68000000,7.6,82251953,3313
80000000,158926474,2006,1.85,93,1267,65000000,5.6,20220412,3477
80000000,170805525,2011,2.35,102,5392,80000000,5.2,20065617,3482
80000000,142783718,1997,2.35,135,8355,75000000,6.7,19313566,2806
80000000,164800000,1998,2.35,98,12729,70000000,5.7,16485276,2550
80000000,106515310,2002,2.35,83,14261,80000000,7,23213736,3317
80000000,147080413,2001,2.35,99,25942,80000000,6.5,18145632,2678
80000000,136047317,1998,2.35,130,12186,80000000,5.1,20154919,3306
80000000,96148711,2004,1.85,129,20056,80000000,6.6,20018620,2867
80000000,60507228,1999,1.78,74,814,80000000,7.3,2911485,1313
80000000,98983590,2002,2.35,96,1919,80000000,5.9,22610437,2944
80000000,71485043,1998,2.35,113,49631,85000000,7,15833592,2526
80000000,50632037,1998,1.85,114,10731,90000000,5.6,10602042,2502
80000000,141475336,2005,2.35,129,2864,75000000,5.9,16328506,3520
80000000,58270391,2000,1.85,90,25190,80000000,5.3,16063904,2910
80000000,105299638,2005,1.85,118,27114,88000000,5.9,15092079,3087
80000000,101371017,1996,2.35,106,22590,70000000,6.3,9384272,1955
80000000,130580730,2013,2.35,87,1971,80000000,5.2,7300000,3231
